Electoral District Number/Numéro de circonscription,Electoral District Name_English/Nom de circonscription_Anglais,Electoral District Name_French/Nom de circonscription_Français,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Void Poll Indicator/Indicateur de bureau supprimé,No Poll Held Indicator/Indicateur de bureau sans scrutin,Combined with No./Résultats combinés à ceux du n°,Rejected Ballots for poll/Bulletins rejetés du bureau,Electors for poll/Électeurs du bureau,Candidate’s Family Name/Nom de famille du candidat,Candidate’s Middle Name/Second prénom du candidat,Candidate’s First Name/Prénom du candidat,Political Affiliation Name_English/Appartenance politique_Anglais,Political Affiliation Name_French/Appartenance politique_Français,Incumbent Indicator/Indicateur_Candidat sortant,Elected Candidate Indicator/Indicateur du candidat élu,Candidate Vote Count/Votes du candidat
35003,"Aurora--Oak Ridges--Richmond Hill","Aurora--Oak Ridges--Richmond Hill"," 1","Aurora",N,N,"",0,456,"Maniuk","","Danielle","NDP-New Democratic Party","NPD-Nouveau Parti démocratique",N,N,0
35003,"Aurora--Oak Ridges--Richmond Hill","Aurora--Oak Ridges--Richmond Hill"," 1","Aurora",N,N,"",0,456,"Menegakis","","Costas","Conservative","Conservateur",Y,Y,93
35003,"Aurora--Oak Ridges--Richmond Hill","Aurora--Oak Ridges--Richmond Hill"," 1","Aurora",N,N,"",0,456,"Muench","","Tom","Green Party","Parti Vert",N,N,0
35003,"Aurora--Oak Ridges--Richmond Hill","Aurora--Oak Ridges--Richmond Hill"," 1","Aurora",N,N,"",0,456,"Taylor Roy","","Leah","Liberal","Libéral",Y,N,47
35003,"Aurora--Oak Ridges--Richmond Hill","Aurora--Oak Ridges--Richmond Hill"," 1","Aurora",N,N,"",0,456,"Tvorogov","","Igor","People's Party - PPC","Parti populaire - PPC",N,N,1
35003,"Aurora--Oak Ridges--Richmond Hill","Aurora--Oak Ridges--Richmond Hill"," 2","Aurora",N,N,"",2,379,"Maniuk","","Danielle","NDP-New Democratic Party","NPD-Nouveau Parti démocratique",N,N,1
35003,"Aurora--Oak Ridges--Richmond Hill","Aurora--Oak Ridges--Richmond Hill"," 2","Aurora",N,N,"",2,379,"Menegakis","","Costas","Conservative","Conservateur",Y,Y,48
35003,"Aurora--Oak Ridges--Richmond Hill","Aurora--Oak Ridges--Richmond Hill"," 2","Aurora",N,N,"",2,379,"Muench","","Tom","Green Party","Parti Vert",N,N,1
35003,"Aurora--Oak Ridges--Richmond Hill","Aurora--Oak Ridges--Richmond Hill"," 2","Aurora",N,N,"",2,379,"Taylor Roy","","Leah","Liberal","Libéral",Y,N,52
35003,"Aurora--Oak Ridges--Richmond Hill","Aurora--Oak Ridges--Richmond Hill"," 2","Aurora",N,N,"",2,379,"Tvorogov","","Igor","People's Party - PPC","Parti populaire - PPC",N,N,0
35003,"Aurora--Oak Ridges--Richmond Hill","Aurora--Oak Ridges--Richmond Hill"," 3","Aurora",N,N,"",0,511,"Maniuk","","Danielle","NDP-New Democratic Party","NPD-Nouveau Parti démocratique",N,N,3
35003,"Aurora--Oak Ridges--Richmond Hill","Aurora--Oak Ridges--Richmond Hill"," 3","Aurora",N,N,"",0,511,"Menegakis","","Costas","Conservative","Conservateur",Y,Y,67
35003,"Aurora--Oak Ridges--Richmond Hill","Aurora--Oak Ridges--Richmond Hill"," 3","Aurora",N,N,"",0,511,"Muench","","Tom","Green Party","Parti Vert",N,N,1
35003,"Aurora--Oak Ridges--Richmond Hill","Aurora--Oak Ridges--Richmond Hill"," 3","Aurora",N,N,"",0,511,"Taylor Roy","","Leah","Liberal","Libéral",Y,N,93
35003,"Aurora--Oak Ridges--Richmond Hill","Aurora--Oak Ridges--Richmond Hill"," 3","Aurora",N,N,"",0,511,"Tvorogov","","Igor","People's Party - PPC","Parti populaire - PPC",N,N,0
35003,"Aurora--Oak Ridges--Richmond Hill","Aurora--Oak Ridges--Richmond Hill"," 4","Aurora",N,N,"",0,428,"Maniuk","","Danielle","NDP-New Democratic Party","NPD-Nouveau Parti démocratique",N,N,3
35003,"Aurora--Oak Ridges--Richmond Hill","Aurora--Oak Ridges--Richmond Hill"," 4","Aurora",N,N,"",0,428,"Menegakis","","Costas","Conservative","Conservateur",Y,Y,69
35003,"Aurora--Oak Ridges--Richmond Hill","Aurora--Oak Ridges--Richmond Hill"," 4","Aurora",N,N,"",0,428,"Muench","","Tom","Green Party","Parti Vert",N,N,0
35003,"Aurora--Oak Ridges--Richmond Hill","Aurora--Oak Ridges--Richmond Hill"," 4","Aurora",N,N,"",0,428,"Taylor Roy","","Leah","Liberal","Libéral",Y,N,82
35003,"Aurora--Oak Ridges--Richmond Hill","Aurora--Oak Ridges--Richmond Hill"," 4","Aurora",N,N,"",0,428,"Tvorogov","","Igor","People's Party - PPC","Parti populaire - PPC",N,N,0
35003,"Aurora--Oak Ridges--Richmond Hill","Aurora--Oak Ridges--Richmond Hill"," 5","Aurora",N,N,"",1,349,"Maniuk","","Danielle","NDP-New Democratic Party","NPD-Nouveau Parti démocratique",N,N,5
35003,"Aurora--Oak Ridges--Richmond Hill","Aurora--Oak Ridges--Richmond Hill"," 5","Aurora",N,N,"",1,349,"Menegakis","","Costas","Conservative","Conservateur",Y,Y,83
35003,"Aurora--Oak Ridges--Richmond Hill","Aurora--Oak Ridges--Richmond Hill"," 5","Aurora",N,N,"",1,349,"Muench","","Tom","Green Party","Parti Vert",N,N,0
35003,"Aurora--Oak Ridges--Richmond Hill","Aurora--Oak Ridges--Richmond Hill"," 5","Aurora",N,N,"",1,349,"Taylor Roy","","Leah","Liberal","Libéral",Y,N,77
35003,"Aurora--Oak Ridges--Richmond Hill","Aurora--Oak Ridges--Richmond Hill"," 5","Aurora",N,N,"",1,349,"Tvorogov","","Igor","People's Party - PPC","Parti populaire - PPC",N,N,1
35003,"Aurora--Oak Ridges--Richmond Hill","Aurora--Oak Ridges--Richmond Hill"," 6","Aurora",N,N,"",0,421,"Maniuk","","Danielle","NDP-New Democratic Party","NPD-Nouveau Parti démocratique",N,N,2
35003,"Aurora--Oak Ridges--Richmond Hill","Aurora--Oak Ridges--Richmond Hill"," 6","Aurora",N,N,"",0,421,"Menegakis","","Costas","Conservative","Conservateur",Y,Y,79
35003,"Aurora--Oak Ridges--Richmond Hill","Aurora--Oak Ridges--Richmond Hill"," 6","Aurora",N,N,"",0,421,"Muench","","Tom","Green Party","Parti Vert",N,N,1
35003,"Aurora--Oak Ridges--Richmond Hill","Aurora--Oak Ridges--Richmond Hill"," 6","Aurora",N,N,"",0,421,"Taylor Roy","","Leah","Liberal","Libéral",Y,N,62
35003,"Aurora--Oak Ridges--Richmond Hill","Aurora--Oak Ridges--Richmond Hill"," 6","Aurora",N,N,"",0,421,"Tvorogov","","Igor","People's Party - PPC","Parti populaire - PPC",N,N,0
35003,"Aurora--Oak Ridges--Richmond Hill","Aurora--Oak Ridges--Richmond Hill"," 7","Aurora",N,N,"",1,420,"Maniuk","","Danielle","NDP-New Democratic Party","NPD-Nouveau Parti démocratique",N,N,1
35003,"Aurora--Oak Ridges--Richmond Hill","Aurora--Oak Ridges--Richmond Hill"," 7","Aurora",N,N,"",1,420,"Menegakis","","Costas","Conservative","Conservateur",Y,Y,92
35003,"Aurora--Oak Ridges--Richmond Hill","Aurora--Oak Ridges--Richmond Hill"," 7","Aurora",N,N,"",1,420,"Muench","","Tom","Green Party","Parti Vert",N,N,0
35003,"Aurora--Oak Ridges--Richmond Hill","Aurora--Oak Ridges--Richmond Hill"," 7","Aurora",N,N,"",1,420,"Taylor Roy","","Leah","Liberal","Libéral",Y,N,52
35003,"Aurora--Oak Ridges--Richmond Hill","Aurora--Oak Ridges--Richmond Hill"," 7","Aurora",N,N,"",1,420,"Tvorogov","","Igor","People's Party - PPC","Parti populaire - PPC",N,N,0
35003,"Aurora--Oak Ridges--Richmond Hill","Aurora--Oak Ridges--Richmond Hill"," 8","Aurora",N,N,"",0,551,"Maniuk","","Danielle","NDP-New Democratic Party","NPD-Nouveau Parti démocratique",N,N,7
